task_id	model	acc
13	InternVL3-9B-Instruct	0.0784
13	Do-7B	0.0000
13	qwen2.5-vl-3b-instruct	0.0882
13	gemini-2.0-pro-exp-02-05	0.0900
13	gemini-2.5-pro-preview-03-25	0.0882
13	Do-3B	0.0000
13	Mistral-Small-3.1-24B-Instruct-2503	0.1078
13	Qwen2.5-VL-72B-Instruct	0.0980
13	Qwen2.5-VL-32B-Instruct	0.0980
13	qwen-max-2025-01-25	0.0990
13	LLaVA-1.5-13B-HF	0.0000
13	Phi-4-multimodal-instruct	0.1373
13	gpt-4o-mini	0.1000
13	doubao-1.5-vision-pro-32k-250115	0.0980
13	Qwen2.5-VL-7B-Instruct-Pro	0.0980
13	gpt-4o-2024-08-06	0.0784
13	claude-3-7-sonnet-20250219	0.0980
16	InternVL3-9B-Instruct	0.0100
16	Do-7B	0.0000
16	qwen2.5-vl-3b-instruct	0.0400
16	gemini-2.0-pro-exp-02-05	0.0000
16	gemini-2.5-pro-preview-03-25	0.0200
16	Do-3B	0.0000
16	Mistral-Small-3.1-24B-Instruct-2503	0.0000
16	Qwen2.5-VL-72B-Instruct	0.0000
16	Qwen2.5-VL-32B-Instruct	0.0000
16	qwen-max-2025-01-25	0.0000
16	LLaVA-1.5-13B-HF	0.0000
16	Phi-4-multimodal-instruct	0.0100
16	gpt-4o-mini	0.0000
16	doubao-1.5-vision-pro-32k-250115	0.0000
16	Qwen2.5-VL-7B-Instruct-Pro	0.0200
16	gpt-4o-2024-08-06	0.0800
16	claude-3-7-sonnet-20250219	0.0000
18	InternVL3-9B-Instruct	0.1471
18	Do-7B	0.0000
18	qwen2.5-vl-3b-instruct	0.1373
18	gemini-2.5-pro-preview-03-25	0.1667
18	Do-3B	0.0000
18	Mistral-Small-3.1-24B-Instruct-2503	0.1961
18	LLaVA-1.5-13B-HF	0.0000
18	Phi-4-multimodal-instruct	0.1569
18	doubao-1.5-vision-pro-32k-250115	0.2157
31	InternVL3-9B-Instruct	0.3960
31	Do-7B	0.0000
31	qwen2.5-vl-3b-instruct	0.4059
31	gemini-2.0-pro-exp-02-05	0.2772
31	gemini-2.5-pro-preview-03-25	0.3267
31	Do-3B	0.0099
31	Mistral-Small-3.1-24B-Instruct-2503	0.3861
31	Qwen2.5-VL-72B-Instruct	0.4059
31	Qwen2.5-VL-32B-Instruct	0.3861
31	qwen-max-2025-01-25	0.4059
31	LLaVA-1.5-13B-HF	0.0000
31	Phi-4-multimodal-instruct	0.3267
31	gpt-4o-mini	0.4059
31	doubao-1.5-vision-pro-32k-250115	0.3465
31	Qwen2.5-VL-7B-Instruct-Pro	0.3663
31	gpt-4o-2024-08-06	0.3960
31	claude-3-7-sonnet-20250219	0.2574
37	InternVL3-9B-Instruct	0.0266
37	Do-7B	0.0000
37	qwen2.5-vl-3b-instruct	0.0142
37	gemini-2.0-pro-exp-02-05	0.0409
37	gemini-2.5-pro-preview-03-25	0.0249
37	Do-3B	0.0000
37	Mistral-Small-3.1-24B-Instruct-2503	0.0266
37	Qwen2.5-VL-72B-Instruct	0.0231
37	Qwen2.5-VL-32B-Instruct	0.0480
37	qwen-max-2025-01-25	0.0249
37	LLaVA-1.5-13B-HF	0.0000
37	Phi-4-multimodal-instruct	0.0551
37	gpt-4o-mini	0.0160
37	doubao-1.5-vision-pro-32k-250115	0.0355
37	Qwen2.5-VL-7B-Instruct-Pro	0.0053
37	gpt-4o-2024-08-06	0.0231
37	claude-3-7-sonnet-20250219	0.0249
38	InternVL3-9B-Instruct	0.1300
38	Do-7B	0.0000
38	qwen2.5-vl-3b-instruct	0.2400
38	gemini-2.0-pro-exp-02-05	0.1200
38	gemini-2.5-pro-preview-03-25	0.1200
38	Do-3B	0.0000
38	Mistral-Small-3.1-24B-Instruct-2503	0.0200
38	Qwen2.5-VL-72B-Instruct	0.0400
38	Qwen2.5-VL-32B-Instruct	0.1200
38	qwen-max-2025-01-25	0.0000
38	LLaVA-1.5-13B-HF	0.0000
38	Phi-4-multimodal-instruct	0.2700
38	gpt-4o-mini	0.1500
38	doubao-1.5-vision-pro-32k-250115	0.0700
38	Qwen2.5-VL-7B-Instruct-Pro	0.0300
38	gpt-4o-2024-08-06	0.0200
38	claude-3-7-sonnet-20250219	0.0000
47	InternVL3-9B-Instruct	0.0782
47	Do-7B	0.0000
47	qwen2.5-vl-3b-instruct	0.9721
47	gemini-2.0-pro-exp-02-05	0.0058
47	gemini-2.5-pro-preview-03-25	0.0112
47	Do-3B	0.0000
47	Mistral-Small-3.1-24B-Instruct-2503	0.0056
47	Qwen2.5-VL-72B-Instruct	0.0000
47	Qwen2.5-VL-32B-Instruct	0.0168
47	qwen-max-2025-01-25	0.0000
47	LLaVA-1.5-13B-HF	0.0000
47	Phi-4-multimodal-instruct	0.2626
47	gpt-4o-mini	0.0686
47	doubao-1.5-vision-pro-32k-250115	0.0000
47	Qwen2.5-VL-7B-Instruct-Pro	0.0559
47	gpt-4o-2024-08-06	0.0057
47	claude-3-7-sonnet-20250219	0.0743
49	InternVL3-9B-Instruct	0.0301
49	Do-7B	0.0000
49	qwen2.5-vl-3b-instruct	0.0482
49	gemini-2.0-pro-exp-02-05	0.0482
49	gemini-2.5-pro-preview-03-25	0.0241
49	Do-3B	0.0000
49	Mistral-Small-3.1-24B-Instruct-2503	0.0241
49	Qwen2.5-VL-72B-Instruct	0.0301
49	Qwen2.5-VL-32B-Instruct	0.0241
49	qwen-max-2025-01-25	0.0301
49	LLaVA-1.5-13B-HF	0.0000
49	Phi-4-multimodal-instruct	0.0422
49	gpt-4o-mini	0.0120
49	doubao-1.5-vision-pro-32k-250115	0.0241
49	Qwen2.5-VL-7B-Instruct-Pro	0.0301
49	gpt-4o-2024-08-06	0.0361
49	claude-3-7-sonnet-20250219	0.0301
50	InternVL3-9B-Instruct	0.0577
50	Do-7B	0.0000
50	qwen2.5-vl-3b-instruct	0.4327
50	gemini-2.0-pro-exp-02-05	0.3077
50	gemini-2.5-pro-preview-03-25	0.1154
50	Do-3B	0.0000
50	Mistral-Small-3.1-24B-Instruct-2503	0.0000
50	Qwen2.5-VL-72B-Instruct	0.0096
50	Qwen2.5-VL-32B-Instruct	0.0385
50	qwen-max-2025-01-25	0.0481
50	LLaVA-1.5-13B-HF	0.0000
50	Phi-4-multimodal-instruct	0.0096
50	gpt-4o-mini	0.0288
50	doubao-1.5-vision-pro-32k-250115	0.0288
50	Qwen2.5-VL-7B-Instruct-Pro	0.0096
50	gpt-4o-2024-08-06	0.0769
50	claude-3-7-sonnet-20250219	0.0000
52	InternVL3-9B-Instruct	0.0600
52	Do-7B	0.0000
52	qwen2.5-vl-3b-instruct	0.6000
52	gemini-2.0-pro-exp-02-05	0.0200
52	gemini-2.5-pro-preview-03-25	0.0400
52	Do-3B	0.0000
52	Mistral-Small-3.1-24B-Instruct-2503	0.0000
52	Qwen2.5-VL-72B-Instruct	0.0300
52	Qwen2.5-VL-32B-Instruct	0.0100
52	qwen-max-2025-01-25	0.0000
52	LLaVA-1.5-13B-HF	0.0000
52	Phi-4-multimodal-instruct	0.0300
52	gpt-4o-mini	0.0000
52	doubao-1.5-vision-pro-32k-250115	0.0000
52	Qwen2.5-VL-7B-Instruct-Pro	0.0500
52	gpt-4o-2024-08-06	0.0300
52	claude-3-7-sonnet-20250219	0.0000
53	InternVL3-9B-Instruct	0.0594
53	Do-7B	0.0000
53	qwen2.5-vl-3b-instruct	0.1287
53	gemini-2.0-pro-exp-02-05	0.0495
53	gemini-2.5-pro-preview-03-25	0.0495
53	Do-3B	0.0000
53	Mistral-Small-3.1-24B-Instruct-2503	0.0297
53	Qwen2.5-VL-72B-Instruct	0.0594
53	Qwen2.5-VL-32B-Instruct	0.0594
53	qwen-max-2025-01-25	0.0594
53	LLaVA-1.5-13B-HF	0.0000
53	Phi-4-multimodal-instruct	0.0693
53	gpt-4o-mini	0.0495
53	doubao-1.5-vision-pro-32k-250115	0.0990
53	Qwen2.5-VL-7B-Instruct-Pro	0.0594
53	gpt-4o-2024-08-06	0.0891
53	claude-3-7-sonnet-20250219	0.0594
67	InternVL3-9B-Instruct	0.1100
67	Do-7B	0.0000
67	qwen2.5-vl-3b-instruct	0.2400
67	gemini-2.0-pro-exp-02-05	0.0800
67	gemini-2.5-pro-preview-03-25	0.0500
67	Do-3B	0.0000
67	Mistral-Small-3.1-24B-Instruct-2503	0.0200
67	Qwen2.5-VL-72B-Instruct	0.0300
67	Qwen2.5-VL-32B-Instruct	0.0300
67	qwen-max-2025-01-25	0.1700
67	LLaVA-1.5-13B-HF	0.0000
67	Phi-4-multimodal-instruct	0.0300
67	gpt-4o-mini	0.1000
67	doubao-1.5-vision-pro-32k-250115	0.1000
67	Qwen2.5-VL-7B-Instruct-Pro	0.0500
67	gpt-4o-2024-08-06	0.1000
67	claude-3-7-sonnet-20250219	0.0500
48	InternVL3-9B-Instruct	0.0000
48	Do-7B	0.0000
48	qwen2.5-vl-3b-instruct	0.0000
48	gemini-2.0-pro-exp-02-05	0.0000
48	gemini-2.5-pro-preview-03-25	0.0000
48	Do-3B	0.0000
48	Mistral-Small-3.1-24B-Instruct-2503	0.0000
48	Qwen2.5-VL-72B-Instruct	0.0000
48	Qwen2.5-VL-32B-Instruct	0.0000
48	qwen-max-2025-01-25	0.0000
48	LLaVA-1.5-13B-HF	0.0000
48	Phi-4-multimodal-instruct	0.0000
48	gpt-4o-mini	0.0000
48	doubao-1.5-vision-pro-32k-250115	0.0000
48	Qwen2.5-VL-7B-Instruct-Pro	0.0000
48	gpt-4o-2024-08-06	0.0000
48	claude-3-7-sonnet-20250219	0.0000
